<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.22	30188.0	30430.0	29985.0	30125.0	296010	0	0
2022.09.23	30147.0	30177.0	29253.0	29616.0	270490	0	0
2022.09.26	29648.0	29681.0	29175.0	29274.0	345450	0	0
2022.09.27	29300.0	29679.0	28970.0	29179.0	295510	0	0
2022.09.28	29176.0	29838.0	28840.0	29712.0	355950	0	0
2022.09.29	29735.0	29739.0	29005.0	29256.0	309040	0	0
2022.09.30	29280.0	29508.0	28728.0	28807.0	332710	0	0
2022.10.03	28847.0	29669.0	28606.0	29545.0	285645	0	0
2022.10.04	29515.0	30369.0	29469.0	30318.0	258180	0	0
2022.10.05	30271.0	30476.0	29900.0	30301.0	255480	0	0
2022.10.06	30291.0	30447.0	29867.0	29926.0	291830	0	0
2022.10.07	29911.0	30068.0	29154.0	29286.0	271550	0	0
2022.10.10	29148.0	29511.0	29029.0	29243.0	280140	0	0
2022.10.11	29259.0	29632.0	28922.0	29269.0	323730	0	0
2022.10.12	29270.0	29501.0	29154.0	29265.0	320500	0	0
2022.10.13	29288.0	30189.0	28647.0	30072.0	348830	0	0
2022.10.14	30061.0	30457.0	29629.0	29669.0	381640	0	0
2022.10.17	29761.0	30346.0	29733.0	30288.0	261510	0	0
2022.10.18	30395.0	30864.0	30321.0	30683.0	309740	0	0
2022.10.19	30660.0	30807.0	30244.0	30494.0	305030	0	0
2022.10.20	30509.0	30843.0	30274.0	30393.0	316800	0	0
2022.10.21	30330.0	31160.0	30084.0	31158.0	323940	0	0
2022.10.24	31344.0	31626.0	30910.0	31520.0	344400	0	0
2022.10.25	31520.0	31904.0	31333.0	31844.0	238400	0	0
2022.10.26	31837.0	32200.0	31734.0	31947.0	256170	0	0
2022.10.27	31981.0	32413.0	31873.0	31929.0	303760	0	0
2022.10.28	32036.0	32975.0	31879.0	32970.0	260610	0	0
2022.10.31	32881.0	32915.0	32619.0	32775.0	218219	0	0
2022.11.01	32782.0	33029.0	32514.0	32646.0	221359	0	0
2022.11.02	32679.0	33111.0	32127.0	32181.0	282229	0	0
2022.11.03	32126.0	32282.0	31748.0	32054.0	258369	0	0
2022.11.04	31967.0	32639.0	31874.0	32421.0	322729	0	0
2022.11.07	32258.0	32921.0	32241.0	32850.0	240670	0	0
2022.11.08	32849.0	33386.0	32785.0	33141.0	210230	0	0
2022.11.09	33180.0	33228.0	32490.0	32534.0	273740	0	0
