<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.09.03	4519.27	4673.96	3995.94	4225.60	218974	2183419999999779909	1200
2017.09.10	4253.44	4369.38	2966.00	3711.54	247496	2469579999999749360	1500
2017.09.17	3711.54	4115.11	3506.52	3605.06	226287	2262249999999773705	1500
2017.09.24	3661.41	4262.41	3650.89	4171.10	219505	2194949999999780479	1500
2017.10.01	4171.10	4445.50	4130.47	4326.45	218850	2164509999999783492	0
2017.10.08	4564.57	5838.93	4534.35	5600.34	235344	2351549999999758619	1500
2017.10.15	5495.49	6065.37	5097.00	5953.71	219757	2183999999999757276	0
2017.10.22	5923.80	6036.50	5351.54	5739.85	28709936	2185779999999771911	0
2017.10.29	6186.45	7470.50	5993.95	7218.51	30576089	2080989999999780277	0
2017.11.05	7323.70	7881.40	6389.05	6591.01	50287769	2018009999999792299	0
2017.11.12	5776.35	8021.50	5536.90	7708.28	50058640	1984549999999797065	0
2017.11.19	8002.50	8363.05	7754.00	8229.30	34046105	0	0
2017.11.26	9379.30	11421.50	8813.10	10882.23	108220178	0	0
2017.12.03	10858.50	17152.50	10248.00	15544.51	145048103	0	0
2017.12.10	14349.50	18057.02	14120.47	17364.11	134488746	0	0
2017.12.17	18864.50	19470.00	10630.00	14165.02	218026113	0	0
2017.12.24	13468.00	16460.51	12030.00	12958.12	119328518	0	0
2017.12.31	12958.13	17069.99	12745.00	16823.00	103536180	0	0
2018.01.07	16823.00	16946.99	12595.50	14150.41	149945242	0	0
2018.01.14	14150.41	14362.01	9187.60	12883.01	143077608	0	0
2018.01.21	12883.01	12915.53	9860.50	11533.38	110878712	0	0
2018.01.28	11533.40	11969.10	7605.26	9125.85	83843302	0	0
2018.02.04	9125.91	9330.00	5900.72	8253.76	118249086	0	0
2018.02.11	8251.01	10852.58	7798.00	10843.00	57465638	0	0
2018.02.18	10843.00	11759.99	9352.00	9490.00	77419476	0	0
2018.02.25	9490.00	11481.00	9255.42	11263.04	56878953	0	0
2018.03.04	11263.14	11667.57	8305.20	8792.98	72330165	0	0
2018.03.11	8792.98	9871.99	7622.50	7830.00	71671061	0	0
2018.03.18	7830.00	9167.00	7305.37	8894.80	50443811	0	0
2018.03.25	8894.80	8894.80	6498.00	6860.90	49073887	0	0
2018.04.01	6860.90	7479.00	6400.00	6995.20	33714015	0	0
2018.04.08	6989.80	8219.00	6570.25	8071.50	41561899	0	0
2018.04.15	8071.50	8550.00	7785.60	8516.50	27023017	0	0
2018.04.22	8864.99	9753.00	8609.10	8967.00	48132742	0	0
2018.04.29	9099.47	9798.00	8785.21	9684.00	26691650	0	0
2018.05.06	9255.24	9639.00	8341.97	8428.50	34215378	0	0
2018.05.13	8434.95	8880.00	7876.72	8222.00	34311114	0	0
2018.05.20	8504.53	8580.00	7214.02	7441.90	30372687	0	0
2018.05.27	7273.05	7604.00	6998.80	7440.40	22900556	0	0
2018.06.03	7675.48	7752.00	7304.28	7647.50	18487995	0	0
2018.06.10	6666.30	6903.00	6076.47	6493.50	26890966	0	0
2018.06.17	6451.56	6828.50	5970.89	6058.68	24310663	0	0
2018.06.24	6147.79	6336.50	5748.83	5898.39	18283905	0	0
2018.07.01	6314.61	6798.00	6237.59	6574.00	21356910	0	0
2018.07.08	6709.37	6807.50	6042.81	6182.00	19004958	0	0
2018.07.15	6339.38	7681.50	6289.64	7351.30	32592238	0	0
2018.07.22	7491.21	8479.99	7294.93	8237.00	36493493	0	0
2018.07.29	8158.08	8282.74	7245.08	7387.00	27847149	0	0
2018.08.05	7015.94	7154.49	6090.55	6376.94	32348660	0	0
2018.08.12	6376.54	6620.74	5831.44	6321.48	39092016	0	0
2018.08.19	6321.48	6864.49	6194.12	6676.69	30347779	0	0
2018.08.26	6676.09	7232.78	6521.66	7153.97	25694242	0	0
2018.09.02	7155.66	7393.75	6083.74	6140.28	33083052	0	0
2018.09.09	6140.48	6571.50	6106.22	6495.69	22494263	0	0
2018.09.16	6495.19	6955.25	6064.27	6688.58	30688467	0	0
2018.09.23	6687.88	6788.57	6293.61	6559.72	23607872	0	0
2018.09.30	6559.72	6676.59	6388.51	6560.32	19227979	0	0
2018.10.07	6560.02	6690.38	6051.97	6274.83	16261325	0	0
2018.10.14	6274.93	7666.80	6154.08	6543.64	39077979	0	0
2018.10.21	6543.64	6625.56	6361.87	6451.74	10100109	0	0
2018.10.28	6451.54	6473.91	6190.15	6348.95	11710081	0	0
2018.11.04	6346.25	6577.70	6307.17	6416.28	10904528	0	0
2018.11.11	6416.28	6463.83	5192.74	5574.90	29334392	0	0
2018.11.18	5574.90	5709.96	3922.27	3992.89	48413284	0	0
2018.11.25	3992.89	4467.66	3513.64	4251.30	45519012	0	0
2018.12.02	4251.40	4350.79	3202.14	3336.71	35554258	0	0
2018.12.09	3336.71	3770.03	3134.39	3230.92	22649696	0	0
2018.12.16	3279.77	4282.67	3175.99	4018.06	33378492	0	0
2018.12.23	4017.86	4366.57	3562.89	4052.42	29472919	0	0
2018.12.30	4052.52	4082.59	3695.39	3946.54	17539854	0	0
2019.01.06	3944.24	4200.16	3548.39	3695.71	22026095	0	0
2019.01.13	3695.71	3852.14	3485.14	3761.04	15146128	0	0
2019.01.20	3761.04	3779.32	3418.08	3619.50	14401900	0	0
2019.01.27	3619.60	3628.98	3322.50	3507.62	11121726	0	0
2019.02.03	3508.02	3782.92	3331.78	3700.21	11274169	0	0
2019.02.10	3696.71	3733.77	3532.14	3688.22	9116019	0	0
2019.02.17	3685.83	4241.81	3583.89	4200.56	19305997	0	0
2019.02.24	4200.56	4269.18	3647.09	3897.19	18274518	0	0
2019.03.03	3897.19	4032.05	3669.09	3981.40	12191825	0	0
2019.03.10	3981.20	4139.63	3776.80	4068.31	10680825	0	0
2019.03.17	4068.31	4132.93	3909.69	4039.04	8398094	0	0
2019.03.24	4038.44	4196.86	3845.19	4146.32	8862820	0	0
2019.03.31	4146.82	5337.76	4049.86	5101.17	32509963	0	0
2019.04.07	5103.77	5473.36	4897.43	5101.97	27440056	0	0
2019.04.14	5101.87	5387.05	4938.23	5331.12	15945917	0	0
2019.04.21	5331.12	5660.35	4945.48	5425.11	23306928	0	0
2019.04.28	5425.21	6159.70	5066.94	6007.17	23356327	0	0
