<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.03	26.655	27.918	24.470	25.369	218514	0	0
2021.01.10	25.458	25.889	24.327	24.687	197618	0	0
2021.01.17	24.756	26.043	24.007	25.455	170720	0	0
2021.01.24	25.547	27.638	24.693	27.016	211106	0	1
2021.01.31	28.380	30.043	25.877	26.848	251102	0	24
2021.02.07	27.182	27.789	26.675	27.307	167688	0	43
2021.02.14	27.439	27.944	26.052	27.230	186654	0	13
2021.02.21	27.515	28.315	26.129	26.617	255389	0	6
2021.02.28	26.720	27.067	24.822	25.217	254510	0	6
2021.03.07	25.445	26.448	24.944	25.890	215052	0	6
2021.03.14	25.975	26.627	25.749	26.220	185058	0	6
2021.03.21	26.131	26.154	24.399	25.046	166601	0	8
2021.03.28	25.029	25.079	23.764	24.942	129368	0	8
2021.04.04	24.942	25.608	24.601	25.241	127417	0	9
2021.04.11	25.213	26.295	24.673	25.931	140878	0	8
2021.04.18	25.916	26.643	25.623	26.018	161454	0	8
2021.04.25	25.955	26.469	25.698	25.881	149959	0	8
2021.05.02	25.848	27.665	25.793	27.448	151925	0	8
2021.05.09	27.497	27.873	26.708	27.409	195946	0	8
2021.05.16	27.410	28.739	27.190	27.545	190679	0	8
2021.05.23	27.532	28.226	27.392	27.913	163104	0	8
2021.05.30	27.922	28.550	27.023	27.782	142822	0	11
2021.06.06	27.750	28.278	27.455	27.906	146527	0	11
2021.06.13	27.923	28.012	25.747	25.790	183730	0	11
2021.06.20	25.859	26.290	25.541	26.100	163457	0	12
2021.06.27	26.102	26.561	25.517	26.454	148126	0	11
2021.07.04	26.439	26.768	25.755	26.113	140538	0	12
2021.07.11	26.102	26.460	25.592	25.637	134486	0	12
2021.07.18	25.637	25.755	24.745	25.178	147772	0	12
2021.07.25	25.183	25.794	24.478	25.476	129294	0	11
2021.08.01	25.483	25.999	24.186	24.284	113441	0	11
2021.08.08	24.283	24.307	22.269	23.714	140428	0	11
2021.08.15	23.747	23.948	22.866	23.023	136412	0	12
2021.08.22	23.065	24.111	22.965	24.058	119785	0	12
2021.08.29	24.029	24.866	23.745	24.710	110574	0	11
2021.09.05	24.737	24.819	23.725	23.725	116547	0	12
2021.09.12	23.767	23.962	22.323	22.371	138195	0	11
2021.09.19	22.391	23.138	22.028	22.387	136041	0	11
2021.09.26	22.430	22.841	21.417	22.511	153126	0	11
2021.10.03	22.518	23.183	22.200	22.626	143093	0	11
2021.10.10	22.691	23.583	22.333	23.310	134786	0	11
2021.10.17	23.333	24.823	23.003	24.301	153760	0	1
2021.10.24	24.325	24.619	23.652	23.883	151753	0	1
2021.10.31	23.861	24.153	22.946	24.150	140452	0	0
2021.11.07	24.139	25.378	24.021	25.287	143739	0	0
2021.11.14	25.307	25.400	24.550	24.615	138219	0	1
2021.11.21	24.567	24.884	22.917	23.111	130669	0	0
2021.11.28	23.159	23.438	22.032	22.534	151549	0	0
2021.12.05	22.533	22.599	21.825	22.175	102439	0	0
2021.12.12	22.203	22.675	21.400	22.377	126973	0	1
2021.12.19	22.378	22.933	22.178	22.888	81772	0	0
2021.12.26	22.778	23.431	22.586	23.305	98757	0	1
2022.01.02	23.343	23.400	21.943	22.318	141103	0	1
2022.01.09	22.344	23.309	22.186	22.954	138794	0	0
2022.01.16	22.917	24.701	22.804	24.255	144234	0	1
2022.01.23	24.199	24.305	22.144	22.433	186145	0	2
2022.01.30	22.378	23.040	22.000	22.477	150481	0	3
2022.02.06	22.557	23.710	22.531	23.615	161017	0	2
2022.02.13	23.519	24.085	23.075	23.966	192856	0	2
2022.02.20	24.007	25.617	23.691	24.199	209710	0	2
2022.02.27	24.600	25.738	24.088	25.650	199743	0	2
2022.03.06	25.932	26.943	25.287	25.828	242514	0	2
2022.03.13	25.757	25.838	24.452	24.916	179544	0	2
2022.03.20	25.041	25.846	24.563	25.417	147760	0	1
2022.03.27	25.527	25.576	23.956	24.621	160063	0	1
2022.04.03	24.629	24.943	24.116	24.756	142242	0	1
2022.04.10	24.813	25.865	24.664	25.626	104232	0	1
2022.04.17	25.635	26.214	24.046	24.171	150492	0	1
2022.04.24	24.152	24.167	22.673	22.742	158679	0	0
2022.05.01	22.839	23.276	22.100	22.334	152095	0	1
2022.05.08	22.332	22.357	20.448	21.071	165334	0	0
2022.05.15	21.177	22.072	20.836	21.753	138113	0	0
2022.05.22	21.819	22.441	21.660	22.094	110366	0	0
2022.05.29	22.060	22.480	21.424	21.943	110280	0	0
2022.06.05	21.921	22.509	21.254	21.876	117307	0	0
2022.06.12	21.958	21.994	20.880	21.677	170224	0	14
2022.06.19	21.533	21.930	20.597	21.127	131752	0	3
2022.06.26	21.210	21.534	19.376	19.861	154999	0	0
2022.07.03	19.879	20.199	18.915	19.291	152000	0	0
2022.07.10	19.251	19.406	18.138	18.697	158559	0	0
2022.07.17	18.705	19.096	18.234	18.601	132857	0	0
2022.07.24	18.567	20.347	18.312	20.344	127603	0	0
2022.07.31	20.224	20.507	19.546	19.886	147068	0	0
2022.08.07	19.851	20.842	19.790	20.812	118049	0	0
2022.08.14	20.795	20.868	19.020	19.046	124528	0	0
2022.08.21	19.017	19.430	18.715	18.894	130641	0	0
2022.08.28	18.840	18.910	17.552	18.021	136872	0	0
